,id,product_code,loading,attribute_0,attribute_1,attribute_2,attribute_3,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
1,1,A,84.89,material_7,material_8,9,5,14,3,3,18.213,11.54,17.717,17.893,12.748,17.889,12.448,17.947,17.915,11.755,14.732,15.425,14.395,15.631,682.057,0
3,3,A,101.07,material_7,material_8,9,5,13,2,6,17.295,11.188,18.576,18.339,12.583,19.06,12.471,16.346,18.377,10.02,15.25,15.562,16.154,17.172,826.282,0
4,4,A,188.06,material_7,material_8,9,5,9,2,8,19.346,12.95,16.99,15.746,11.306,18.093,10.337,17.082,19.932,12.428,16.182,12.76,13.153,16.412,579.885,0
7,7,A,177.92,material_7,material_8,9,5,4,8,8,17.062,13.634,17.879,15.894,11.029,18.643,10.254,16.449,20.478,12.207,15.624,16.968,15.176,17.231,684.0,1
11,11,A,175.38,material_7,material_8,9,5,7,3,2,17.029,11.507,18.377,16.338,10.019,20.242,11.309,16.31,18.959,11.52,14.659,15.355,15.175,15.829,792.591,1
12,12,A,232.58,material_7,material_8,9,5,9,0,6,19.107,12.056,17.69,17.204,13.086,20.228,11.528,15.631,19.709,14.616,14.801,14.75,12.762,16.226,858.722,0
13,13,A,159.19,material_7,material_8,9,5,6,9,10,19.71,12.031,16.867,18.527,10.917,20.341,9.902,14.803,16.473,10.424,16.132,14.877,15.291,13.013,798.38,1
14,14,A,196.51,material_7,material_8,9,5,10,4,10,18.982,10.843,16.716,17.409,12.387,18.819,12.103,17.901,17.336,12.665,17.08,15.169,13.471,13.78,661.16,0
17,17,A,72.72,material_7,material_8,9,5,21,6,3,17.397,12.777,18.701,15.278,11.261,18.415,11.707,14.205,19.845,9.798,16.055,15.82,16.836,15.646,692.561,0
18,18,A,86.18,material_7,material_8,9,5,11,6,3,18.344,10.736,16.635,17.777,12.407,18.683,11.203,17.655,19.825,13.055,16.385,16.884,14.036,16.241,654.072,0
21,21,A,82.16,material_7,material_8,9,5,6,1,4,18.843,11.915,17.442,17.855,13.384,18.585,12.452,16.514,18.423,11.95,15.949,15.589,14.923,18.714,738.721,0
22,22,A,155.62,material_7,material_8,9,5,8,3,5,17.79,11.435,18.873,17.863,14.084,20.294,11.487,14.801,20.184,10.288,13.19,14.305,14.985,17.27,967.106,0
23,23,A,118.12,material_7,material_8,9,5,15,2,12,17.894,11.105,18.077,18.758,10.785,20.167,10.953,16.132,18.732,13.73,13.276,14.083,13.104,13.739,845.997,0
26,26,A,223.36,material_7,material_8,9,5,9,4,11,18.801,13.045,16.376,18.569,12.231,18.92,12.328,17.217,18.0,10.212,14.46,14.154,14.642,16.709,708.199,0
31,31,A,102.42,material_7,material_8,9,5,18,3,4,17.041,11.01,18.175,15.471,11.653,16.77,11.897,14.883,20.402,12.817,13.948,16.577,13.717,12.761,521.457,0
33,33,A,186.71,material_7,material_8,9,5,10,3,4,17.58,9.107,15.741,17.843,12.421,19.547,9.666,16.274,19.936,12.326,16.334,18.647,13.182,16.777,645.405,1
